brand,model,year,transmission,fuel,nb_of_doors,price,miles,engine(hp)
FIAT,500 Pop Hatchback FWD,2017,Automatic,Gasoline,2,7995,48237,101
FIAT,500 Pop,2013,Automatic,Gasoline,2,6999,58202,101
FIAT,500 Sport,2013,Manual,Gasoline,2,6950,55961,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,6995,51725,101
FIAT,124 Spider Lusso RWD,2017,Automatic,Gasoline,2,15127,46196,160
FIAT,500X Trekking AWD,2020,Automatic,Gasoline,4,17000,37607,177
FIAT,500L Easy,2014,Automatic,Gasoline,4,7985,43564,160
FIAT,500X Pop AWD,2019,Automatic,Gasoline,4,16800,17741,177
FIAT,500X Pop AWD,2019,Automatic,Gasoline,4,15498,21946,177
FIAT,500 Abarth,2013,Manual,Gasoline,2,7990,60110,160
FIAT,124 Spider Lusso,2018,Automatic,Gasoline,2,19995,20752,160
FIAT,500 Pop,2015,Automatic,Gasoline,2,8995,60941,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,8995,61019,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,8995,60379,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,8995,61360,101
FIAT,500 Lounge Hatchback FWD,2018,Automatic,Gasoline,2,17192,13572,135
FIAT,500 Pop,2015,Automatic,Gasoline,2,8995,61205,101
FIAT,500 Pop Convertible,2012,Manual,Gasoline,2,6495,61254,101
FIAT,500X Trekking FWD,2018,Automatic,Gasoline,4,9395,76656,180
FIAT,500X Trekking AWD,2018,Automatic,Gasoline,4,16266,36303,180
FIAT,500X Trekking AWD,2019,Automatic,Gasoline,4,15999,36714,177
FIAT,124 Spider Abarth,2018,Automatic,Gasoline,2,19985,27724,164
FIAT,500X Sport AWD,2022,Automatic,Gasoline,4,19979,18185,177
FIAT,500X Lounge FWD,2018,Automatic,Gasoline,4,13588,45158,180
FIAT,500X Trekking Plus,2016,Automatic,Gasoline,4,11899,32910,180
FIAT,500 Pop Convertible,2013,Automatic,Gasoline,2,5995,66812,101
FIAT,500 Lounge Hatchback FWD,2017,Automatic,Gasoline,2,9922,42244,101
FIAT,500 GUCCI,2012,Automatic,Gasoline,2,6899,60693,101
FIAT,500X Trekking AWD,2018,Automatic,Gasoline,4,16500,30370,180
FIAT,500X Lounge FWD,2018,Automatic,Gasoline,4,15888,25028,180
FIAT,500X Trekking Plus AWD,2022,Automatic,Gasoline,4,24995,11910,177
FIAT,500X Trekking AWD,2021,Automatic,Gasoline,4,17495,11661,177
FIAT,500L Trekking,2017,Automatic,Gasoline,4,7950,90861,160
FIAT,124 Spider Classica,2019,Automatic,Gasoline,2,19998,15800,160
FIAT,124 Spider Classica,2018,Manual,Gasoline,2,20000,16954,160
FIAT,500X Trekking AWD,2019,Automatic,Gasoline,4,19998,16580,177
FIAT,124 Spider Classica,2018,Manual,Gasoline,2,18998,19484,160
FIAT,500X Sport AWD,2021,Automatic,Gasoline,4,19998,34105,177
FIAT,500 Sport,2015,Automatic,Gasoline,2,7750,61851,101
FIAT,500 Abarth Convertible,2015,Manual,Gasoline,2,14495,27651,160
FIAT,500 Sport,2015,Automatic,Gasoline,2,8998,34771,101
FIAT,500 GUCCI Convertible,2012,Automatic,Gasoline,2,7999,61812,101
FIAT,500L Trekking,2015,Automatic,Gasoline,4,9997,43851,160
FIAT,500 Sport,2015,Manual,Gasoline,2,6995,69899,101
FIAT,500 Pop,2013,Automatic,Gasoline,2,4900,97522,101
FIAT,500 Sport,2015,Automatic,Gasoline,2,6495,76693,101
FIAT,500 Sport,2012,Manual,Gasoline,2,7650,59203,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,9995,17065,101
FIAT,500L Easy,2015,Automatic,Gasoline,4,11499,46502,160
FIAT,500 Sport,2015,Automatic,Gasoline,2,8995,43395,101
FIAT,500 Lounge,2013,Automatic,Gasoline,2,10162,24952,101
FIAT,124 Spider Classica RWD,2017,Manual,Gasoline,2,15000,26984,160
FIAT,500 Sport,2012,Manual,Gasoline,2,7890,35215,101
FIAT,500L Lounge,2014,Automatic,Gasoline,4,8569,58720,160
FIAT,500L Lounge,2014,Automatic,Gasoline,4,8990,49239,160
FIAT,500L Easy,2014,Manual,Gasoline,4,8999,43036,160
FIAT,500X Lounge,2017,Automatic,Gasoline,4,14996,25343,180
FIAT,500 GUCCI Convertible,2012,Automatic,Gasoline,2,11300,44304,101
FIAT,124 Spider Classica RWD,2017,Manual,Gasoline,2,18777,19350,160
FIAT,500L Lounge,2014,Automatic,Gasoline,4,7798,76988,160
FIAT,500 Pop Hatchback FWD,2017,Manual,Gasoline,2,10691,32766,101
FIAT,500L Trekking,2014,Manual,Gasoline,4,8300,55139,160
FIAT,500 GQ Edition Convertible,2014,Manual,Gasoline,2,9495,56232,160
FIAT,500X Easy AWD,2016,Automatic,Gasoline,4,11456,46361,180
FIAT,500 Lounge,2012,Automatic,Gasoline,2,8500,38877,101
FIAT,500 Pop,2013,Manual,Gasoline,2,6995,80610,101
FIAT,500 Abarth,2015,Manual,Gasoline,2,9932,58580,160
FIAT,500X Trekking,2017,Automatic,Gasoline,4,15386,17978,180
FIAT,500 Abarth,2014,Manual,Gasoline,2,12900,32457,160
FIAT,500 Abarth Convertible,2015,Manual,Gasoline,2,15980,22944,160
FIAT,500 Lounge,2012,Automatic,Gasoline,2,8795,42135,101
FIAT,500 Pop,2013,Automatic,Gasoline,2,7997,54656,101
FIAT,500X Lounge,2016,Automatic,Gasoline,4,11488,45413,180
FIAT,500 Pop,2013,Automatic,Gasoline,2,6995,60646,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,6990,56352,101
FIAT,500 Sport,2015,Manual,Gasoline,2,10500,16738,101
FIAT,124 Spider Lusso,2020,Automatic,Gasoline,2,25495,5925,160
FIAT,500 Pop,2013,Manual,Gasoline,2,7699,36687,101
FIAT,124 Spider Lusso RWD,2017,Automatic,Gasoline,2,17388,24135,160
FIAT,500L Trekking,2016,Automatic,Gasoline,4,7890,70941,160
FIAT,500X Trekking,2016,Automatic,Gasoline,4,10620,59419,180
FIAT,500X Trekking AWD,2018,Automatic,Gasoline,4,17676,35199,180
FIAT,500 Abarth Hatchback FWD,2017,Automatic,Gasoline,2,15799,28067,160
FIAT,500 Pop,2012,Manual,Gasoline,2,7988,42629,101
